"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-01-01 00:00:00,0.213,0,0,0,15.66,42.16,2.214,875.5172
2021-01-01 00:10:00,0.188,0,0,0,15.67,41.85,2.429,875.4602
2021-01-01 00:20:00,0.104,0,0,0,15.88,41.29,1.421,875.3776
2021-01-01 00:30:00,0.077,0,0,0,15.75,42.22,1.057,875.2963
2021-01-01 00:40:00,0,0,0,0,15.41,43.7,0.473,875.3045
2021-01-01 00:50:00,0,0,0,0,15.08,44.77,0.583,875.3372
2021-01-01 01:00:00,0.032,0,0,0,15.1,44.79,1.308,875.3455
2021-01-01 01:10:00,0,0,0,0,14.7,46.41,1.062,875.3727
2021-01-01 01:20:00,0,0,0,0,14.08,48.58,1.595,875.3311
2021-01-01 01:30:00,0,0,0,0,13.71,50.23,1.601,875.1293
2021-01-01 01:40:00,0.024,0,0,0,13.85,50.22,0.96,875.0205
2021-01-01 01:50:00,0,0,0,0,13.52,52.24,1.531,875.1105
2021-01-01 02:00:00,0.083,0,0,0,13.62,52.21,1.474,875.0233
2021-01-01 02:10:00,0.045,0,0,0,13.64,52.8,1.628,874.9515
2021-01-01 02:20:00,0.028,0,0,0,13.56,53.64,1.411,874.7596
2021-01-01 02:30:00,0.141,0,0,0,13.83,52.79,1.178,874.8679
2021-01-01 02:40:00,0.002,0,0,0,13.63,53.89,1.078,874.9473
2021-01-01 02:50:00,0,0,0,0,13.33,55.36,1.285,874.8845
2021-01-01 03:00:00,0.11,0,0,0,13.23,55.63,1.815,875.0883
2021-01-01 03:10:00,0,0,0,0,12.57,58.77,2.109,874.939
2021-01-01 03:20:00,0.188,0,0,0,12.75,57.74,2.561,874.9481
2021-01-01 03:30:00,0.024,0,0,0,12.89,57.62,1.488,874.7347
2021-01-01 03:40:00,0.05,0,0,0,12.89,57.42,1.372,875.1549
2021-01-01 03:50:00,0,0,0,0,12.74,58.47,1.844,875.0971
2021-01-01 04:00:00,0.009,0,0,0,12.64,58.9,0.826,875.0476
2021-01-01 04:10:00,0.296,0,0,0,13.01,57.15,1.341,875.3127
2021-01-01 04:20:00,0.011,0,0,0,13.01,57.57,0.332,875.2822
2021-01-01 04:30:00,0.266,0,0,0,12.91,58.32,1.714,875.4614
2021-01-01 04:40:00,0.388,0,0,0,13.13,57.96,1.761,875.3378
2021-01-01 04:50:00,0.056,0,0,0,12.64,59.95,1.963,875.5737
2021-01-01 05:00:00,0,0,0,0,12.23,61.93,1.724,875.796
2021-01-01 05:10:00,0.045,0,0,0,12.1,63,1.581,875.9243
2021-01-01 05:20:00,0.055,0,0,0,11.94,64.16,2.361,875.6984
2021-01-01 05:30:00,0.142,0,0,0,12.12,63.51,1.266,875.9938
