"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-04-01 00:00:00,0.009,0,0,0,25.39,38.03,5.45,876.7743
2021-04-01 00:10:00,0,0,0,0,25.22,38.17,4.7,877.0162
2021-04-01 00:20:00,0,0,0,0,25.05,38.03,4.7,877.0654
2021-04-01 00:30:00,0.003,0,0,0,25.05,38.4,4.7,877.2219
2021-04-01 00:40:00,0,0,0,0,24.85,38.75,3.2,877.3059
2021-04-01 00:50:00,0,0,0,0,24.68,39.5,0.95,877.227
2021-04-01 01:00:00,0.159,0,0,0,24.61,39.09,3.2,877.3837
2021-04-01 01:10:00,0.172,0,0,0,24.58,38.27,3.95,877.3422
2021-04-01 01:20:00,0.111,0,0,0,24.41,37.93,4.7,877.1381
2021-04-01 01:30:00,0.001,0,0,0,24.37,37.59,4.7,877.3095
2021-04-01 01:40:00,0.001,0,0,0,24.1,37.89,4.7,877.1627
2021-04-01 01:50:00,0,0,0,0,24.07,39.02,3.95,877.3103
2021-04-01 02:00:00,0,0,0,0,23.49,42.97,3.95,877.2683
2021-04-01 02:10:00,0,0,0,0,22.4,43.55,3.95,877.2768
2021-04-01 02:20:00,0,0,0,0,22.6,43.24,4.7,877.1875
2021-04-01 02:30:00,0,0,0,0,22.19,42.53,5.45,877.1703
2021-04-01 02:40:00,0.028,0,0,0,22.12,42.36,5.45,876.991
2021-04-01 02:50:00,0.002,0,0,0,22.09,42.05,6.2,877.048
2021-04-01 03:00:00,0.243,0,0,0,22.67,40.38,5.45,877.0397
2021-04-01 03:10:00,0.01,0,0,0,22.57,38.1,5.45,877.3182
2021-04-01 03:20:00,0.263,0,0,0,22.8,37.18,6.2,877.2199
2021-04-01 03:30:00,0.244,0,0,0,23.11,36.09,4.7,877.1536
2021-04-01 03:40:00,0,0,0,0,22.94,37.18,3.95,877.2285
2021-04-01 03:50:00,0.001,0,0,0,22.26,36.19,4.7,877.3265
2021-04-01 04:00:00,0.14,0,0,0,22.5,35.92,3.95,877.3832
2021-04-01 04:10:00,0.136,0,0,0,22.5,36.02,4.7,877.5391
2021-04-01 04:20:00,0,0,0,0,22.26,39.53,3.95,877.6943
2021-04-01 04:30:00,0.033,0,0,0,21.75,39.84,3.2,877.5963
2021-04-01 04:40:00,0,0,0,0,21.78,40.93,2.45,877.9561
2021-04-01 04:50:00,0.001,0,0,0,21.37,41.3,3.2,877.9398
2021-04-01 05:00:00,0.338,0,0,0,21.75,40.55,3.2,877.8904
2021-04-01 05:10:00,0.05,0,0,0,21.75,39.7,3.2,878.0618
2021-04-01 05:20:00,0.05,0,0,0,21.51,41.51,3.95,878.1937
2021-04-01 05:30:00,0.002,0,0,0,21.34,42.05,3.2,878.3563
