"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-12-31 00:00:00,0.063,0,0,0,18.09,44.02,2.539,876.1477
2021-12-31 00:10:00,0.023,0,0,0,17.56,45.75,2.446,875.9855
2021-12-31 00:20:00,0.073,0,0,0,17.6,44.93,2.575,875.9521
2021-12-31 00:30:00,0,0,0,0,17.09,46.79,2.701,876.1177
2021-12-31 00:40:00,0.142,0,0,0,17.12,45.81,2.786,876.2183
2021-12-31 00:50:00,0.125,0,0,0,17.37,45.31,2.685,876.2228
2021-12-31 01:00:00,0.004,0,0,0,16.86,47.09,2.424,876.2239
2021-12-31 01:10:00,0.049,0,0,0,17.02,46.58,2.758,876.2145
2021-12-31 01:20:00,0.05,0,0,0,16.9,47.39,2.748,875.7555
2021-12-31 01:30:00,0.011,0,0,0,16.63,48.73,2.273,875.5526
2021-12-31 01:40:00,0.239,0,0,0,17.04,47.11,2.218,875.4905
2021-12-31 01:50:00,0.084,0,0,0,17.1,47.61,1.913,875.4637
2021-12-31 02:00:00,0.001,0,0,0,16.58,50.42,1.916,875.4504
2021-12-31 02:10:00,0,0,0,0,16.23,51.88,1.48,875.3746
2021-12-31 02:20:00,0.03,0,0,0,16.27,52.06,1.442,875.2983
2021-12-31 02:30:00,0.043,0,0,0,16.26,52.41,1.223,875.2629
2021-12-31 02:40:00,0,0,0,0,16.19,53.09,1.212,875.4514
2021-12-31 02:50:00,0.003,0,0,0,16.02,53.84,0.754,875.5363
2021-12-31 03:00:00,0.024,0,0,0,16.03,54.1,0.643,875.46
2021-12-31 03:10:00,0.018,0,0,0,15.78,55.09,0.22,875.2805
2021-12-31 03:20:00,0.357,0,0,0,16.4,52.76,1.353,875.3118
2021-12-31 03:30:00,0.109,0,0,0,16.03,54.52,1.152,875.4686
2021-12-31 03:40:00,0.002,0,0,0,15.7,56.02,1.095,875.4603
2021-12-31 03:50:00,0.14,0,0,0,15.6,56.57,1.763,875.3209
2021-12-31 04:00:00,0.153,0,0,0,15.64,56.42,2.009,875.0826
2021-12-31 04:10:00,0.053,0,0,0,15.56,57.3,2.143,875.2064
2021-12-31 04:20:00,0.001,0,0,0,15.28,58.94,1.833,875.4037
2021-12-31 04:30:00,0.001,0,0,0,15.04,60.16,1.904,875.394
2021-12-31 04:40:00,0.024,0,0,0,14.87,61.09,2.016,875.3126
2021-12-31 04:50:00,0.005,0,0,0,14.88,61.35,1.945,875.575
2021-12-31 05:00:00,0.103,0,0,0,14.82,61.59,2.251,875.4752
2021-12-31 05:10:00,0.312,0,0,0,15.23,59.76,2.456,875.133
2021-12-31 05:20:00,0.304,0,0,0,15.59,58.29,2.068,875.6244
2021-12-31 05:30:00,0.028,0,0,0,15.36,59.46,1.951,875.5501
