"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-06-30 00:00:00,0.001,0,0,0,19.97,92,0.002,877.1868
2021-06-30 00:10:00,0.001,0,0,0,19.84,92.9,0.008,877.171
2021-06-30 00:20:00,0.003,0,0,0,19.86,92.9,0,877.1707
2021-06-30 00:30:00,0.074,0,0,0,19.72,93.4,0.295,877.1208
2021-06-30 00:40:00,0.003,0,0,0,19.73,93.6,0,876.9424
2021-06-30 00:50:00,0.001,0,0,0,19.66,94.2,0,876.8925
2021-06-30 01:00:00,0.083,0,0,0,19.64,94.6,0,877.032
2021-06-30 01:10:00,0.041,0,0,0,19.57,94.9,0,877.0397
2021-06-30 01:20:00,0.356,0,0,0,19.6,95.3,0,876.9008
2021-06-30 01:30:00,0.367,0,0,0,19.69,95.3,0,876.7779
2021-06-30 01:40:00,0.246,0,0,0,19.64,95.5,0,876.9092
2021-06-30 01:50:00,0.081,0,0,0,19.49,95.8,0,876.7608
2021-06-30 02:00:00,0.3,0,0,0,19.38,96.1,0,876.7136
2021-06-30 02:10:00,0.311,0,0,0,19.52,96.2,0,876.7609
2021-06-30 02:20:00,0.012,0,0,0,19.57,96.3,0,876.451
2021-06-30 02:30:00,0.048,0,0,0,19.53,96.5,0,876.5087
2021-06-30 02:40:00,0.348,0,0.001,0,19.62,96.1,0,876.6874
2021-06-30 02:50:00,0.361,0,0.041,0,19.93,94.9,0,876.4592
2021-06-30 03:00:00,0.18,0,0,0,19.99,94.5,0,876.3862
2021-06-30 03:10:00,0.265,0,0,0,19.9,95,0.061,876.5404
2021-06-30 03:20:00,0.264,0,0,0,20.03,93.9,0.086,876.4352
2021-06-30 03:30:00,0.03,0,0,0,20.09,92.9,0.374,876.3112
2021-06-30 03:40:00,0,0,0,0,20.1,93,0.005,876.296
2021-06-30 03:50:00,0.002,0,0,0,19.89,94,0.128,876.3695
2021-06-30 04:00:00,0.014,0,0,0,19.79,94.6,0.213,876.2541
2021-06-30 04:10:00,0.144,0,0,0,19.71,94.8,0.153,876.4847
2021-06-30 04:20:00,0.079,0,0,0,19.71,94.5,0.184,876.3355
2021-06-30 04:30:00,0.005,0,0,0,19.72,94.5,0.017,876.4354
2021-06-30 04:40:00,0.19,0,0,0,19.75,94.1,0.057,876.3029
2021-06-30 04:50:00,0.335,0,0,0,19.75,92.7,0.548,876.2385
2021-06-30 05:00:00,0.132,0,0,0,19.75,91.2,0.708,876.4763
2021-06-30 05:10:00,0.007,0,0,0,19.74,91.5,0.039,876.5492
2021-06-30 05:20:00,0.005,0,0,0,19.76,91.7,0,876.1812
2021-06-30 05:30:00,0.009,0,0,0,19.62,92.2,0,876.4019
2021-06-30 05:40:00,0.062,0,0,0,19.57,92.9,0,876.4512
