"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-03-31 00:00:00,0,0,0,0,25.05,43.28,1.7,875.3872
2021-03-31 00:10:00,0,0,0,0,24.99,43.76,2.45,875.7045
2021-03-31 00:20:00,0,0,0,0,24.88,45.43,2.45,875.6983
2021-03-31 00:30:00,0.182,0,0,0,25.16,44.98,2.45,875.7885
2021-03-31 00:40:00,0.014,0,0,0,25.26,42.97,0.95,875.7392
2021-03-31 00:50:00,0.073,0,0,0,24.92,44.78,2.45,875.7724
2021-03-31 01:00:00,0.03,0,0,0,24.85,44.81,1.7,875.715
2021-03-31 01:10:00,0,0,0,0,24.58,45.94,0.95,875.6904
2021-03-31 01:20:00,0,0,0,0,24.34,47.09,1.7,875.8376
2021-03-31 01:30:00,0,0,0,0,23.21,47.54,3.2,875.6412
2021-03-31 01:40:00,0,0,0,0,22.8,46.99,3.2,875.6742
2021-03-31 01:50:00,0,0,0,0,22.6,45.83,3.2,875.5591
2021-03-31 02:00:00,0,0,0,0,22.4,47.16,3.2,875.4694
2021-03-31 02:10:00,0,0,0,0,22.33,47.13,1.7,875.4781
2021-03-31 02:20:00,0.052,0,0,0,22.63,46.58,2.45,875.5021
2021-03-31 02:30:00,0.001,0,0,0,22.63,46.86,2.45,875.5179
2021-03-31 02:40:00,0,0,0,0,22.5,48.56,1.7,875.2977
2021-03-31 02:50:00,0,0,0,0,21.85,49.48,2.45,875.2819
2021-03-31 03:00:00,0.001,0,0,0,21.88,47.74,1.7,875.3628
2021-03-31 03:10:00,0,0,0,0,21.78,48.22,1.7,875.1676
2021-03-31 03:20:00,0,0,0,0,21.65,49.92,0,875.445
2021-03-31 03:30:00,0.001,0,0,0,21.41,50.2,1.7,875.4449
2021-03-31 03:40:00,0.276,0,0,0,21.58,49.68,2.45,875.3715
2021-03-31 03:50:00,0,0,0,0,21.61,49.86,1.7,875.429
2021-03-31 04:00:00,0,0,0,0,21.24,50.88,2.45,875.4941
2021-03-31 04:10:00,0.044,0,0,0,20.93,51.25,2.45,875.5842
2021-03-31 04:20:00,0.001,0,0,0,20.73,51.63,2.45,875.584
2021-03-31 04:30:00,0.092,0,0,0,20.86,51.9,3.2,875.6085
2021-03-31 04:40:00,0.031,0,0,0,20.83,51.59,3.2,875.6005
2021-03-31 04:50:00,0.01,0,0,0,20.76,51.52,3.2,875.7065
2021-03-31 05:00:00,0.076,0,0,0,21.13,51.32,2.45,875.584
2021-03-31 05:10:00,0.018,0,0,0,21.27,50.78,1.7,875.6901
2021-03-31 05:20:00,0,0,0,0,21.2,51.97,1.7,875.675
2021-03-31 05:30:00,0,0,0,0,20.66,52.45,2.45,875.8049
