"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
Temperatura,Irradiancia,,Irradiancia,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-09-30 00:00:00,0.243,0,0,0,20.46,91.9,0,876.1476
2021-09-30 00:10:00,0.298,0,0,0,20.13,92.7,1.466,876.2055
2021-09-30 00:20:00,0.31,0,0,0,20.37,91.3,1.175,876.1078
2021-09-30 00:30:00,0.081,0,0,0,20.38,91.4,1.538,875.96
2021-09-30 00:40:00,0.293,0,0,0,20.32,91.8,1.609,876.0828
2021-09-30 00:50:00,0.293,0,0,0,20.29,92.1,1.393,875.9352
2021-09-30 01:00:00,0.275,0,0,0,20.26,91.9,1.421,875.6994
2021-09-30 01:10:00,0.322,0,0,0,20.61,90.7,0.369,875.8284
2021-09-30 01:20:00,0.256,0.026,0,0,20.41,90.9,1.18,875.7475
2021-09-30 01:30:00,0.16,0.943,0,0,20,92.6,0.937,875.6094
2021-09-30 01:40:00,0.394,4.36,0,0,20.11,92.3,1.215,875.7307
2021-09-30 01:50:00,1.541,11.9,0,0,20.16,92.3,1.25,875.2978
2021-09-30 02:00:00,0.372,26.95,0,0,20.41,91.9,0.432,875.3953
2021-09-30 02:10:00,0.33,40.8,0,0,20.42,92.1,0.005,875.0522
2021-09-30 02:20:00,0.382,42.92,0,0,20.21,93.3,0,875.0938
2021-09-30 02:30:00,0.394,67.86,0,0,20.29,93.1,0,875.1834
2021-09-30 02:40:00,0.394,78.82,0,0,20.52,92.6,0,875.2404
2021-09-30 02:50:00,0.394,75.83,0,0,20.9,91,0,874.8145
2021-09-30 03:00:00,0.386,64.84,0,0,20.75,91.7,0,874.717
2021-09-30 03:10:00,0.391,72.84,0,0,20.69,92.5,0,874.9962
2021-09-30 03:20:00,0.394,97.6,0,0,20.77,92.2,0,874.8969
2021-09-30 03:30:00,0.394,83.6,0,0,20.66,92,0,874.8474
2021-09-30 03:40:00,0.387,92.1,0,0,20.5,92.6,0,874.7015
2021-09-30 03:50:00,0.41,133.2,0,0,20.43,90.8,0,874.8889
2021-09-30 04:00:00,0.655,168.3,0,0,20.32,89.2,0,874.995
2021-09-30 04:10:00,1.169,202.7,0,0,20,88.9,0,875.1987
2021-09-30 04:20:00,1.043,276.3,0,0,20.13,85.1,0,874.9224
2021-09-30 04:30:00,3.373,299.3,0,0,19.73,85.8,0.832,874.9791
2021-09-30 04:40:00,57.63,426.5,0,0,19.44,86.9,1.169,874.9623
2021-09-30 04:50:00,196.1,570.8,0,0,19.44,86.5,0.979,875.1504
2021-09-30 05:00:00,664.6,787.3,0,0,19.53,86,1.317,875.2162
2021-09-30 05:10:00,691.5,866,0,0,19.55,86.5,0.694,875.2236
2021-09-30 05:20:00,567.7,786,0,0,19.77,85,0.366,875.1675
