"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2022-08-01 00:00:00,0.297,0,0,0,19.62,94.9,0.292,879.7633
2022-08-01 00:10:00,0.328,0,0,0,19.81,95.5,0.17,879.8124
2022-08-01 00:20:00,0.287,0,0,0,19.85,95.6,0.011,879.7385
2022-08-01 00:30:00,0.357,0,0.293,0,20,95,1.114,879.7145
2022-08-01 00:40:00,0.353,0,0.359,0,20.17,94.8,1.288,879.8207
2022-08-01 00:50:00,0.264,0,0.089,0,20.08,95.4,0.044,879.9598
2022-08-01 01:00:00,0.302,0,0.001,0,20.02,96.1,0.356,879.9923
2022-08-01 01:10:00,0.175,0,0.335,0,19.66,96.6,1.375,880.0908
2022-08-01 01:20:00,0.243,0.034,0.359,0,19.59,96.6,1.368,880.1313
2022-08-01 01:30:00,0.306,0.015,0.644,0,19.57,96.1,1.984,880.0902
2022-08-01 01:40:00,0.271,0,0.624,0,19.56,96.3,1.753,879.9102
2022-08-01 01:50:00,0.3,0,0.359,0,19.65,96.6,1.058,879.8041
2022-08-01 02:00:00,0.33,0,0.359,0,19.53,96.9,1.604,879.7549
2022-08-01 02:10:00,0.342,0,0.734,0,19.71,95.8,1.613,879.6405
2022-08-01 02:20:00,0.335,0,0.454,0,19.82,95.4,1.072,879.5754
2022-08-01 02:30:00,0.33,0,0.359,0,19.79,95.4,1.236,879.6489
2022-08-01 02:40:00,0.33,0.3,0.829,0,19.72,93.9,2.059,879.6736
2022-08-01 02:50:00,0.336,0.384,1.078,0,19.77,93.2,1.781,879.8123
2022-08-01 03:00:00,0.343,0.384,1.09,0,19.9,91.6,1.409,879.7141
2022-08-01 03:10:00,0.353,0.078,0.528,0,20.05,93,0.674,879.6652
2022-08-01 03:20:00,0.336,0,0.359,0,19.75,94.8,0.87,879.6406
2022-08-01 03:30:00,0.376,0,0.095,0,19.83,96.6,1.367,879.6653
2022-08-01 03:40:00,0.125,0,0.073,0,19.47,97.9,1.324,879.7141
2022-08-01 03:50:00,0.182,0,0,0,19.16,98.4,0.816,879.5995
2022-08-01 04:00:00,0.245,0.001,0,0,19.13,98.8,0.892,879.6327
2022-08-01 04:10:00,0.207,0.095,0,0,19.05,98.9,0.907,879.7471
2022-08-01 04:20:00,0.269,0.013,0,0,18.7,99,1.09,879.6653
2022-08-01 04:30:00,0.348,0,0,0,18.7,98.9,0.873,879.8125
2022-08-01 04:40:00,0.377,0,0,0,18.84,98.9,0.839,879.9189
2022-08-01 04:50:00,0.37,0,0,0,18.93,99,0.251,879.9432
2022-08-01 05:00:00,0.347,0,0,0,18.93,99.1,0,880.009
2022-08-01 05:10:00,0.359,0,0,0,19.03,98.9,0.014,880.0986
